Data;24363 - Índice de Atividade Econômica do Banco Central - IBC-Br - Índice
03/2011;101,31920
04/2011;97,78948
05/2011;100,12892
06/2011;99,09212
07/2011;101,50119
08/2011;103,11781
09/2011;99,48095
10/2011;99,28007
11/2011;99,17623
12/2011;97,33323
01/2012;93,21258
02/2012;94,61885
03/2012;102,30778
04/2012;97,76480
05/2012;101,05704
06/2012;99,46160
07/2012;103,08446
08/2012;104,79624
09/2012;98,98619
10/2012;103,25778
11/2012;100,77409
12/2012;97,53188
01/2013;97,39493
02/2013;95,16925
03/2013;103,46958
04/2013;104,71573
05/2013;102,78262
06/2013;101,27719
07/2013;106,34693
08/2013;106,12456
09/2013;102,95100
10/2013;106,19151
11/2013;103,31550
12/2013;101,90477
01/2014;99,76897
02/2014;100,33641
03/2014;104,18160
04/2014;103,24800
05/2014;102,86346
06/2014;98,48717
07/2014;104,75483
08/2014;103,65364
09/2014;103,54746
10/2014;104,65373
11/2014;101,30962
12/2014;101,69819
01/2015;96,96070
02/2015;95,68890
03/2015;104,38635
04/2015;99,45520
05/2015;97,52540
06/2015;96,82317
07/2015;99,84314
08/2015;98,19926
09/2015;96,42512
10/2015;97,72243
11/2015;95,06369
12/2015;95,40067
01/2016;89,87062
02/2016;91,48770
03/2016;97,99401
04/2016;94,90952
05/2016;93,12232
06/2016;94,47215
07/2016;95,35551
08/2016;96,30267
09/2016;93,62165
10/2016;92,73418
11/2016;92,62471
12/2016;93,55165
01/2017;89,90447
02/2017;90,44450
03/2017;99,01453
04/2017;93,37047
05/2017;94,65152
06/2017;94,31754
07/2017;96,54090
08/2017;97,74903
09/2017;94,18057
10/2017;95,02149
11/2017;94,53653
12/2017;95,08815
01/2018;92,28695
02/2018;90,82494
03/2018;98,72679
04/2018;97,04195
05/2018;92,30996
06/2018;95,71848
07/2018;98,43506
08/2018;100,01638
09/2018;94,84516
10/2018;97,75021
11/2018;96,34270
12/2018;95,53914
01/2019;93,18627
02/2019;93,74618
03/2019;97,03471
04/2019;97,42994
05/2019;97,37583
06/2019;94,46255
07/2019;99,99017
08/2019;99,29552
09/2019;96,56005
10/2019;99,88519
11/2019;97,25728
12/2019;96,42236
01/2020;93,56733
02/2020;94,01505
03/2020;95,26194
04/2020;83,69744
05/2020;84,23223
06/2020;88,85592
07/2020;95,43190
08/2020;94,94526
09/2020;95,78355
10/2020;97,82627
11/2020;96,62274
12/2020;97,50460
01/2021;91,88735
02/2021;94,05891
03/2021;101,08908
04/2021;97,40669
05/2021;96,00952
06/2021;96,46515
07/2021;99,84045
08/2021;99,18841
09/2021;97,10213
10/2021;96,53525
11/2021;97,85074
12/2021;99,31719
01/2022;91,68135
02/2022;95,63869
03/2022;104,52745
04/2022;100,23187
05/2022;99,74515
06/2022;99,31223
07/2022;103,96198
08/2022;104,51378
09/2022;101,18408
10/2022;100,08341
11/2022;99,15286
12/2022;99,96717
01/2023;95,09937
02/2023;98,65085
03/2023;110,61559
04/2023;104,04073
05/2023;102,71700
06/2023;102,28027
07/2023;105,34385
08/2023;106,05901
09/2023;101,75570
10/2023;101,93319
11/2023;101,68280
12/2023;101,67956
01/2024;99,29643
02/2024;102,15218
03/2024;109,56614
04/2024;109,25735
05/2024;104,71633
06/2024;105,86827
07/2024;111,51398
08/2024;110,06739
09/2024;107,07989
10/2024;109,18606
11/2024;105,49283
12/2024;104,15728
01/2025;102,72562
02/2025;106,92536
03/2025;114,11525
04/2025;112,68553
05/2025;108,64623
06/2025;107,44774
07/2025;113,20976
08/2025;110,47021
09/2025;109,57121
10/2025;110,14581
11/2025;106,68216
12/2025;107,29284
01/2026;103,90389
02/2026;106,80338
03/2026;117,61851
Fonte;BCB-Depec
