Data;21086 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Total - %;21088 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Desconto de cheques - %;21090 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Capital de giro com prazo de até 365 dias - %;21091 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Capital de giro com prazo superior a 365 dias - %;21092 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Capital de giro rotativo - %;21093 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Capital de giro total - %;21094 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Conta garantida - %;21095 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Cheque especial - %;21106 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Cartão de crédito total - %;21111 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Outros créditos livres - %
03/2011;3,18 ;3,23 ;2,88 ;3,44 ;3,03 ;3,29 ;1,35 ;13,88 ;6,82 ;8,83
04/2011;3,33 ;3,40 ;3,39 ;3,42 ;3,34 ;3,40 ;1,40 ;14,61 ;6,79 ;10,36
05/2011;3,49 ;3,62 ;3,57 ;3,66 ;3,13 ;3,59 ;1,53 ;15,70 ;5,90 ;11,31
06/2011;3,42 ;3,76 ;3,57 ;3,52 ;2,99 ;3,48 ;1,56 ;15,74 ;5,99 ;10,55
07/2011;3,57 ;3,92 ;4,09 ;3,58 ;3,34 ;3,66 ;1,50 ;17,26 ;6,36 ;11,38
08/2011;3,53 ;4,00 ;3,91 ;3,52 ;3,06 ;3,55 ;1,67 ;17,69 ;6,84 ;12,22
09/2011;3,47 ;4,20 ;3,88 ;3,57 ;2,97 ;3,58 ;1,51 ;18,17 ;6,97 ;11,22
10/2011;3,61 ;4,48 ;4,25 ;3,87 ;3,02 ;3,86 ;1,65 ;17,58 ;7,43 ;11,04
11/2011;3,58 ;3,76 ;4,35 ;3,84 ;3,03 ;3,86 ;1,67 ;17,48 ;7,42 ;11,00
12/2011;3,50 ;3,65 ;4,29 ;3,84 ;3,10 ;3,86 ;1,79 ;18,46 ;7,15 ;9,18
01/2012;3,62 ;3,94 ;4,56 ;3,90 ;3,18 ;3,96 ;1,84 ;16,84 ;8,06 ;11,05
02/2012;3,74 ;3,96 ;4,70 ;4,16 ;3,53 ;4,19 ;1,81 ;16,10 ;7,45 ;11,26
03/2012;3,64 ;3,87 ;4,62 ;4,11 ;3,45 ;4,14 ;1,79 ;16,25 ;6,29 ;10,34
04/2012;3,71 ;3,93 ;4,75 ;4,23 ;3,56 ;4,25 ;1,88 ;14,83 ;7,82 ;10,22
05/2012;3,74 ;3,88 ;4,67 ;4,14 ;3,67 ;4,19 ;2,07 ;15,90 ;7,33 ;11,46
06/2012;3,63 ;3,76 ;4,56 ;4,05 ;3,64 ;4,10 ;1,98 ;15,61 ;6,85 ;10,16
07/2012;3,67 ;3,86 ;4,60 ;4,15 ;3,99 ;4,22 ;2,15 ;15,77 ;8,14 ;9,40
08/2012;3,78 ;3,86 ;4,77 ;4,27 ;3,98 ;4,33 ;2,19 ;16,70 ;8,19 ;9,91
09/2012;3,71 ;3,82 ;4,64 ;4,18 ;4,01 ;4,24 ;2,13 ;15,99 ;7,61 ;9,69
10/2012;3,82 ;3,63 ;4,57 ;4,38 ;4,25 ;4,40 ;2,46 ;15,87 ;8,87 ;9,66
